Groot Nieuws;57.0
Rob & Wijnand: Carnaval Countdown;50.0
De Sandwich;43.2
Wat Anders;42.4
Top 4000 Classics;37.9
Soul Night met Corné;36.9
Silvan Stoet;36.6
3voor12 Radio;35.5
De Verlanglijst;35.0
Vera on Track;34.5
Jules van Hest;33.8
Andermans Veren;33.3
Van Inkels Choice;33.3
Martijn Kolkman;32.9
Sven’s Classix;32.4
Den’s Fever;32.0
Dennis Verheugd;31.8
Nacht van 10;31.6
Robert Feller;31.3
Soul Night met Shay;30.9
Het Weekend van 10;30.8
Nonstop Weekend;30.7
Non Stop;30.4
Wildgroei;30.4
Is Het Al Weekend;29.8
De 538 Middagshow;29.7
Nonstop @Work;29.5
Lost Radio;29.5
@Night;29.3
Feel Good Afternoon;29.3
Feel Good Evening;29.1
Jeroen Nieuwenhuize;29.1
Happy Hours;29.0
Lovesongs;28.9
Top 5 Over 9;28.9
Edwin Diergaarde;28.8
Edwin Ouwehand;28.6
Valentijn Top 500;28.5
Somertijd;28.4
Top 40;28.2
Muziekcafé;28.0
Maximum Weekend Mix;28.0
De Nacht Wacht;27.7
Ekdom in de Morgen;27.7
Nonstop Music Morning Show;27.7
Weekend Hits;27.6
Jan-Paul Grootentraast;27.5
VoorAan;27.3
René Verkerk;27.2
Andres Odijk;27.2
Jordi Warners;26.8
Dees Moet Je Horen;26.7
Keur In De Middag;26.6
De Avondvrijdagshow;26.2
Blokhuis;25.7
Barend & Benner;25.6
Lindo Duvall;25.6
Top 50;25.4
Rámon Verkoeijen;25.3
Rinkeldekinkel;25.1
De Muzikale Fruitmand;25.1
Sophie & Mart;25.0
90’s Top 750;24.6
Het Betere Werk;24.5
Bas van Nimwegen;24.4
Joost Swinkels;24.4
Vincent Pronk;24.4
Kimberley Dekker;24.4
Tom & Joe;24.3
Mark Labrand;24.2
Worldwide Club 20;24.2
Volgspot;24.2
Jaimy de Ruijter;24.1
Ivo van Breukelen;24.0
Martijn La Grouw;23.9
Jacked;23.9
Obi Raaijmaakers;23.9
Mattie & Marieke;23.8
Edwin Noorlander;23.6
Met Morad;23.6
Het Beste Van Evers & Co;23.5
Tom van der Weerd;23.3
Stephan Bouwman;23.3
Qmusic;23.3
Yoeri Leeflang;23.2
Danny;23.2
53N8 Non-Stop;23.0
Top 40 Awards Live;22.9
Domien Verschuuren;22.9
Danny Blom;22.9
De Wild in de Middag;22.8
Julia van Reyendam;22.8
Annemiekes A-Lunch;22.7
Floris Molenaar;22.7
Verschuurens Goud van Oud;22.6
Cain Slobbe;22.4
Annan Verboom;22.4
Spijkers met Koppen;22.2
Angela;22.1
Menno Barreveld;22.0
Tom & Bram;22.0
Het Oor Wil Ook Wat;22.0
The Beat;22.0
Sebastiaan Ockhuysen;22.0
Rob & Wijnand en de Ochtendshow;21.9
Evers & Co;21.9
Lars Boele;21.8
90’s Top 750 - Top 100;21.7
Kylian van Luijt;21.7
Wim van Helden;21.7
Bas & Dylan;21.5
Dit Is Tannaz;21.5
Het Foute Uur;21.4
Aan de Slag;21.4
Anneli Verhees;21.4
De Bonanza;21.3
Top 40 Hitdossier;21.0
Het Beste van De 538 Ochtendshow;21.0
Joey van der Velden;20.6
De Albumshow;20.5
Dance Department;20.4
Mark en Mai;20.4
De Avond Van 5;20.3
FM Op 5;20.2
Marnix Westhuis;20.1
Mattis Janssen;20.1
Judith Eijk;20.0
Muzieknacht;19.7
De 538 Ochtendshow;19.6
Paul;19.6
Jan-Willem Start Op;19.6
Goeiedag Haandrikman;19.4
Magical Mystery Tour;19.2
Open Huis;19.2
Lunch Lekker;19.2
Ook Hier Goeiemorgen;19.1
Vera’s Vintage Vibes;19.0
The Warming Up;18.9
WeekendRick;18.5
Weekendmix;18.1
Skyline Sessions;18.1
Dylan Boet;17.9
De Avondstart;17.9
Vroeg Pieken;17.7
Muziek Voor Volwassenen;17.6
Willem Doreleijers;17.6
Hotline;17.4
BertOp5;17.4
Wekker-Wakker-Weekend;17.3
Martine In De Middag;17.1
De Weekendborrel;17.1
Veronica Anthems;17.1
Theater van het Sentiment;17.0
Gijs 2.4;16.9
Oh Wat Een Nacht;16.8
Top 2000 Dossier;16.7
De Veronica Middagshow;16.5
Goud van Oud;16.4
Arbeidsvitaminen;16.4
Jordi Mulderij;16.0
David Guetta Radio Show;15.6
Niek van der Bruggen;15.6
Frank op Veronica;15.5
Jannes Drop;15.4
Herman Hofman;15.2
Top 80’s;15.0
Ook Goeiemorgen;14.5
Ferry Oomen;14.0
Het Platenpaleis;13.8
Eddy’s Nachtwacht;12.6
Hardwell On Air;11.8
Adres Onbekend;11.5
Ed Struijlaart;11.1
53N8 Non Stop;10.8
De Verrukkelijke 15;10.8
The 70s & 80s Files;10.4
Evergreen Toplijst van de Jaren 60;7.5
Kris Kross Amsterdam;0.0
A State Of Trance;0.0